kills,deaths,assists,dragons,opp_dragons,elders,opp_elders,heralds,opp_heralds,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,gold_diff,side
14,8,46,4,0,0,0,2,0,2,0,9,3,1,0,11.996,1
8,21,17,1,3,0,0,0,2,0,1,2,10,0,2,-10.777,0
21,8,41,3,1,0,0,2,0,1,0,10,2,2,0,10.777,1
5,9,12,0,4,0,0,0,2,0,1,2,7,0,1,-9.605,0
9,5,26,4,0,0,0,2,0,1,0,7,2,1,0,9.605,1
13,7,34,4,1,0,0,2,0,1,0,9,1,2,0,9.097,0
7,13,16,1,4,0,0,0,2,0,1,1,9,0,2,-9.097,1
14,16,21,5,1,1,0,1,1,1,0,7,4,1,0,5.875,0
16,14,37,1,5,0,1,1,1,0,1,4,7,0,1,-5.875,1
15,4,36,3,2,0,0,1,1,2,0,11,2,4,0,14.802,0
4,15,9,2,3,0,0,1,1,0,2,2,11,0,4,-14.802,1
17,7,46,2,2,0,0,1,1,1,0,9,3,3,0,8.638,0
7,17,22,2,2,0,0,1,1,0,1,3,9,0,3,-8.638,1
13,5,31,4,0,0,0,2,0,1,0,10,0,2,0,15.788,0
5,13,8,0,4,0,0,0,2,0,1,0,10,0,2,-15.788,1
6,18,14,3,2,0,0,0,2,0,2,3,11,0,3,-13.752,0
17,6,40,2,3,0,0,2,0,2,0,11,3,3,0,13.752,1
12,3,28,4,0,0,0,2,0,1,0,11,1,3,0,14.206,0
3,12,4,0,4,0,0,0,2,0,1,1,11,0,3,-14.206,1
14,14,26,0,3,0,0,1,1,0,1,1,10,0,2,-6.768,0
14,15,25,3,0,0,0,1,1,1,0,10,1,2,0,6.768,1
25,8,60,3,1,0,0,2,0,0,1,9,2,2,0,8.978,0
8,25,16,1,3,0,0,0,2,1,0,2,9,0,2,-8.978,1
18,17,37,4,2,0,0,2,0,1,1,9,5,1,0,5.216,0
16,19,26,2,4,0,0,0,2,1,1,5,9,0,1,-5.216,1
8,16,14,1,3,0,0,1,1,0,2,3,10,0,2,-10.773,0
16,8,39,3,1,0,0,1,1,2,0,10,3,2,0,10.773,1
10,6,26,3,1,0,0,2,0,1,0,11,3,2,0,12.176,0
6,10,6,1,3,0,0,0,2,0,1,3,11,0,2,-12.176,1
2,12,3,0,4,0,0,2,0,0,1,6,8,0,1,-3.313,0
12,2,37,4,0,0,0,0,2,1,0,8,6,1,0,3.313,1
10,14,26,3,3,0,0,0,2,1,1,10,5,2,0,0.989,0
14,10,32,3,3,0,0,2,0,1,1,5,10,0,2,-0.989,1
9,20,12,1,2,0,0,0,2,0,1,1,10,0,2,-11.367,0
20,9,50,2,1,0,0,2,0,1,0,10,1,2,0,11.367,1
16,3,49,4,0,0,0,1,1,0,0,8,2,1,0,9.787,0
3,16,4,0,4,0,0,1,1,0,0,2,8,0,1,-9.787,1
1,11,1,1,3,0,0,2,0,0,1,2,11,0,3,-10.408,0
11,1,17,3,1,0,0,0,2,1,0,11,2,3,0,10.408,1
1,15,1,0,4,0,0,1,0,0,1,2,8,0,1,-11.202,0
15,1,32,4,0,0,0,0,1,1,0,8,2,1,0,11.202,1
11,13,32,3,3,0,0,1,1,2,1,8,6,1,0,5.031,0
12,11,23,3,3,0,0,1,1,1,2,6,8,0,1,-5.031,1
5,24,12,0,3,0,0,0,2,0,1,2,11,0,3,-15.019,0
24,5,55,3,0,0,0,2,0,1,0,11,2,3,0,15.019,1
15,19,27,2,4,0,0,2,0,0,2,5,9,0,2,-4.245,0
19,15,55,4,2,0,0,0,2,2,0,9,5,2,0,4.245,1
15,4,46,3,1,0,0,1,1,1,0,10,1,2,0,15.373,0
4,15,10,1,3,0,0,1,1,0,1,1,10,0,2,-15.373,1
16,4,32,4,0,0,0,1,1,1,0,10,3,1,0,11.74,0
3,16,5,0,4,0,0,1,1,0,1,3,10,0,1,-11.74,1
4,12,9,2,3,0,0,1,1,1,1,6,7,0,2,-3.156,0
12,4,35,3,2,0,0,1,1,1,1,7,6,2,0,3.156,1
16,15,43,3,2,0,0,1,1,1,0,10,1,2,0,6.836,0
15,16,39,2,3,0,0,1,1,0,1,1,10,0,2,-6.836,1
8,14,20,0,4,0,0,2,0,0,1,1,8,0,1,-9.435,0
14,8,36,4,0,0,0,0,2,1,0,8,1,1,0,9.435,1
10,3,31,3,1,0,0,1,1,2,0,11,3,3,0,9.15,0
3,10,10,1,3,0,0,1,1,0,2,3,11,0,3,-9.15,1
13,14,25,4,3,0,1,2,0,2,1,6,9,1,2,-2.257,0
13,13,31,3,4,1,0,0,2,1,2,9,6,2,1,2.257,1
1,15,3,0,4,0,0,1,1,0,1,0,9,0,1,-14.905,0
15,1,35,4,0,0,0,1,1,1,0,9,0,1,0,14.905,1
11,10,30,4,1,0,0,0,2,1,0,10,3,2,0,7.594,0
10,11,27,1,4,0,0,2,0,0,1,3,10,0,2,-7.594,1
10,20,24,1,5,0,1,1,1,0,2,3,11,0,3,-11.285,0
20,10,41,5,1,1,0,1,1,2,0,11,3,3,0,11.285,1
20,11,49,5,1,1,0,1,1,2,1,11,5,3,0,8.88,0
11,20,29,1,5,0,1,1,1,1,2,5,11,0,3,-8.88,1
25,13,62,1,3,0,0,0,2,1,1,9,3,2,0,5.72,0
13,25,27,3,1,0,0,2,0,1,1,3,9,0,2,-5.72,1
14,7,47,4,0,0,0,2,0,1,0,9,1,1,0,12.063,0
7,14,21,0,4,0,0,0,2,0,1,1,9,0,1,-12.063,1
10,20,24,2,3,0,0,1,1,0,2,3,10,0,3,-9.305,0
20,10,47,3,2,0,0,1,1,2,0,10,3,3,0,9.305,1
11,17,26,3,2,0,0,1,1,0,2,5,10,0,2,-1.925,0
17,11,51,2,3,0,0,1,1,2,0,10,5,2,0,1.925,1
13,3,31,3,2,0,0,1,0,2,0,9,3,1,0,12.575,0
3,13,3,2,3,0,0,0,1,0,2,3,9,0,1,-12.575,1
11,14,18,3,3,0,0,2,0,0,1,3,8,0,2,-6.7,0
14,11,28,3,3,0,0,0,2,1,0,8,3,2,0,6.7,1
4,20,8,0,3,0,0,1,1,0,1,3,10,0,2,-13.041,0
20,4,48,3,0,0,0,1,1,1,0,10,3,2,0,13.041,1
6,22,16,0,4,0,0,0,2,0,2,2,11,0,1,-14.045,0
22,6,40,4,0,0,0,2,0,2,0,11,2,1,0,14.045,1
6,13,12,3,2,0,0,0,2,0,2,3,9,0,1,-8.474,0
13,6,23,2,3,0,0,2,0,2,0,9,3,1,0,8.474,1
4,20,3,0,2,0,0,0,2,0,0,1,8,0,1,-13.775,0
20,4,31,2,0,0,0,2,0,0,0,8,1,1,0,13.775,1
16,14,33,2,3,0,0,2,0,1,1,5,7,0,1,-1.133,0
14,16,31,3,2,0,0,0,2,1,1,7,5,1,0,1.133,1
3,11,5,0,4,0,0,0,2,0,2,1,11,0,3,-11.898,0
11,3,21,4,0,0,0,2,0,2,0,11,1,3,0,11.898,1
6,22,14,1,4,0,0,0,2,1,1,1,8,0,1,-10.694,0
22,6,59,4,1,0,0,2,0,1,1,8,1,1,0,10.694,1
17,7,32,4,2,0,0,0,2,2,0,7,8,1,0,8.324,0
7,17,9,2,4,0,0,2,0,0,2,8,7,0,1,-8.324,1
11,2,25,1,3,0,0,2,0,1,0,11,2,2,0,9.655,0
2,11,3,3,1,0,0,0,2,0,1,2,11,0,2,-9.655,1
8,24,14,2,3,0,0,1,1,0,3,4,10,0,1,-12.473,0
24,8,45,3,2,0,0,1,1,3,0,10,4,1,0,12.473,1
17,21,45,3,3,0,0,1,1,0,3,8,11,0,3,-5.37,0
21,17,59,3,3,0,0,1,1,3,0,11,8,3,0,5.37,1
6,2,15,3,1,0,0,1,1,2,0,11,2,3,0,9.769,0
2,6,6,1,3,0,0,1,1,0,2,2,11,0,3,-9.769,1
7,18,13,1,3,0,0,1,1,0,1,2,9,0,2,-10.253,0
18,7,42,3,1,0,0,1,1,1,0,9,2,2,0,10.253,1
14,4,46,2,2,0,0,0,2,2,0,9,4,1,0,14.667,0
4,14,11,2,2,0,0,2,0,0,2,4,9,0,1,-14.667,1
15,5,37,2,2,0,0,1,1,2,0,10,1,1,0,14.683,0
5,15,12,2,2,0,0,1,1,0,2,1,10,0,1,-14.683,1
4,10,7,2,2,0,0,1,1,0,1,5,10,1,2,-5.692,0
10,4,22,2,2,0,0,1,1,1,0,10,5,2,1,5.692,1
7,13,13,0,4,0,0,1,1,0,1,3,10,0,2,-9.054,0
13,7,34,4,0,0,0,1,1,1,0,10,3,2,0,9.054,1
3,16,8,1,2,0,0,1,1,0,1,2,11,0,3,-10.008,0
16,3,36,2,1,0,0,1,1,1,0,11,2,3,0,10.008,1
11,18,30,2,4,0,0,1,1,1,3,2,11,0,3,-9.268,0
18,11,49,4,2,0,0,1,1,3,1,11,2,3,0,9.268,1
3,19,7,2,4,0,0,2,0,1,1,3,11,0,3,-10.156,0
19,3,53,4,2,0,0,0,2,1,1,11,3,3,0,10.156,1
11,2,27,4,0,0,0,1,1,1,0,9,1,2,0,11.554,0
2,11,5,0,4,0,0,1,1,0,1,1,9,0,2,-11.554,1
17,5,32,3,1,0,0,2,0,1,0,10,0,2,0,14.446,0
5,17,7,1,3,0,0,0,2,0,1,0,10,0,2,-14.446,1
6,9,13,1,4,0,0,1,1,0,2,3,9,0,1,-9.909,0
9,6,17,4,1,0,0,1,1,2,0,9,3,1,0,9.909,1
16,4,45,4,0,0,0,2,0,1,0,11,4,2,0,11.594,0
4,16,13,0,4,0,0,0,2,0,1,4,11,0,2,-11.594,1
7,11,12,0,4,0,0,0,2,0,1,1,8,0,1,-7.881,0
11,7,20,4,0,0,0,2,0,1,0,8,1,1,0,7.881,1
18,7,49,4,0,0,0,2,0,1,0,11,3,3,0,9.384,0
7,18,20,0,4,0,0,0,2,0,1,3,11,0,3,-9.384,1
4,13,8,0,4,0,0,2,0,0,2,2,9,0,1,-9.662,0
13,4,47,4,0,0,0,0,2,2,0,9,2,1,0,9.662,1
9,4,15,4,0,0,0,2,0,1,0,11,0,3,0,13.649,0
4,9,7,0,4,0,0,0,2,0,1,0,11,0,3,-13.649,1
13,23,34,2,3,0,0,2,0,1,0,5,7,0,1,-2.497,0
23,13,61,3,2,0,0,0,2,0,1,7,5,1,0,2.497,1
17,8,45,3,2,0,0,0,2,1,0,10,2,3,0,10.492,0
8,17,18,2,3,0,0,2,0,0,1,2,10,0,3,-10.492,1
15,4,35,3,2,0,0,1,1,0,0,7,3,1,0,8.798,0
4,15,3,2,3,0,0,1,1,0,0,3,7,0,1,-8.798,1
13,2,26,3,1,0,0,2,0,2,0,10,1,2,0,12.159,0
2,13,4,1,3,0,0,0,2,0,2,1,10,0,2,-12.159,1
2,14,3,1,3,0,0,0,2,0,1,0,9,0,1,-14.719,0
14,2,42,3,1,0,0,2,0,1,0,9,0,1,0,14.719,1
2,20,4,0,4,0,0,0,2,0,1,1,10,0,2,-12.955,0
20,2,46,4,0,0,0,2,0,1,0,10,1,2,0,12.955,1
23,15,49,4,1,0,0,2,0,1,0,11,3,3,0,9.311,0
15,23,33,1,4,0,0,0,2,0,1,3,11,0,3,-9.311,1
5,17,12,1,4,0,0,2,0,1,1,3,10,0,2,-11.125,0
17,5,40,4,1,0,0,0,2,1,1,10,3,2,0,11.125,1
13,20,26,2,4,1,0,2,0,1,1,4,9,0,2,1.125,0
20,13,44,4,2,0,1,0,2,1,1,9,4,2,0,-1.125,1
4,17,6,1,3,0,0,0,2,0,1,0,8,0,1,-13.802,0
17,4,26,3,1,0,0,2,0,1,0,8,0,1,0,13.802,1
20,10,36,1,4,1,0,0,2,1,1,9,7,2,1,7.257,0
10,20,23,4,1,0,1,2,0,1,1,7,9,1,2,-7.257,1
16,8,31,4,0,0,0,2,0,2,0,11,3,2,0,11.672,0
8,17,14,0,4,0,0,0,2,0,2,3,11,0,2,-11.672,1
21,8,38,2,2,0,0,1,1,0,0,7,3,1,0,4.456,0
8,21,13,2,2,0,0,1,1,0,0,3,7,0,1,-4.456,1
13,4,29,4,0,0,0,0,1,1,0,10,2,2,0,12.114,0
4,13,6,0,4,0,0,1,0,0,1,2,10,0,2,-12.114,1
16,23,32,2,4,0,0,0,2,1,1,10,8,1,3,4.387,0
23,16,41,4,2,0,0,2,0,1,1,8,10,3,1,-4.387,1
9,21,21,1,2,0,0,0,2,0,1,1,11,0,3,-14.394,0
21,9,53,2,1,0,0,2,0,1,0,11,1,3,0,14.394,1
18,9,45,3,2,0,0,1,1,2,0,10,5,3,0,10.03,0
9,18,18,2,3,0,0,1,1,0,2,5,10,0,3,-10.03,1
6,14,13,0,3,0,0,0,2,0,1,2,11,0,4,-11.465,0
14,6,20,3,0,0,0,2,0,1,0,11,2,4,0,11.465,1
15,5,38,4,0,0,0,2,0,0,0,10,3,2,0,9.682,0
5,15,11,0,4,0,0,0,2,0,0,3,10,0,2,-9.682,1
5,11,8,5,1,1,1,2,0,1,1,5,10,0,1,-7.776,0
11,5,31,1,5,1,1,0,2,1,1,10,5,1,0,7.776,1
22,2,42,3,0,0,0,2,0,1,0,9,0,2,0,18.809,0
2,22,5,0,3,0,0,0,2,0,1,0,9,0,2,-18.809,1
5,14,7,2,3,0,0,0,2,0,2,4,9,0,4,-9.794,0
14,5,28,3,2,0,0,2,0,2,0,9,4,4,0,9.794,1
10,6,26,2,3,0,0,2,0,1,0,10,1,1,0,11.318,0
6,10,15,3,2,0,0,0,2,0,1,1,10,0,1,-11.318,1
15,3,30,4,0,0,0,2,0,1,0,10,1,2,0,12.194,0
3,15,7,0,4,0,0,0,2,0,1,1,10,0,2,-12.194,1
13,4,39,4,1,0,0,0,2,2,0,11,3,3,0,8.208,0
4,13,11,1,4,0,0,2,0,0,2,3,11,0,3,-8.208,1
26,21,57,2,5,0,1,0,2,2,0,8,10,1,3,-3.275,0
21,26,47,5,2,1,0,2,0,0,2,10,8,3,1,3.275,1
15,23,28,1,4,0,0,2,0,2,0,9,8,1,1,-0.484,0
23,15,44,4,1,0,0,0,2,0,2,8,9,1,1,0.484,1
16,2,51,4,0,0,0,2,0,1,0,9,2,1,0,11.571,0
2,16,3,0,4,0,0,0,2,0,1,2,9,0,1,-11.571,1
20,6,43,3,0,0,0,2,0,1,0,9,0,2,0,15.077,0
6,20,7,0,3,0,0,0,2,0,1,0,9,0,2,-15.077,1
20,15,49,3,3,0,0,0,2,2,0,9,6,1,1,8.55,0
14,20,23,3,3,0,0,2,0,0,2,6,9,1,1,-8.55,1
13,2,39,2,2,0,0,2,0,2,0,11,3,3,0,15.979,0
2,13,4,2,2,0,0,0,2,0,2,3,11,0,3,-15.979,1
15,7,40,4,0,0,0,1,1,1,0,10,5,2,0,6.059,0
7,15,11,0,4,0,0,1,1,0,1,5,10,0,2,-6.059,1
13,2,38,2,1,0,0,0,2,1,0,7,1,1,0,8.537,0
2,13,5,1,2,0,0,2,0,0,1,1,7,0,1,-8.537,1
27,28,72,2,5,2,1,2,0,1,3,10,10,3,4,-2.226,0
28,27,55,5,2,1,2,0,2,3,1,10,10,4,3,2.226,1
10,13,23,3,3,0,0,1,0,0,2,1,11,0,4,-9.304,0
13,10,26,3,3,0,0,0,1,2,0,11,1,4,0,9.304,1
6,11,14,1,3,0,0,1,1,0,2,2,9,0,1,-9.03,0
11,6,30,3,1,0,0,1,1,2,0,9,2,1,0,9.03,1
8,5,18,4,0,0,0,1,1,1,0,7,2,1,0,5.994,0
5,8,10,0,4,0,0,1,1,0,1,2,7,0,1,-5.994,1
12,9,27,4,1,0,0,2,0,1,0,11,2,3,0,8.011,0
9,12,15,1,4,0,0,0,2,0,1,2,11,0,3,-8.011,1
9,18,14,1,4,0,0,1,0,0,1,2,10,0,2,-11.274,0
18,9,47,4,1,0,0,0,1,1,0,10,2,2,0,11.274,1
18,5,50,4,2,0,0,1,1,2,0,10,4,1,0,11.394,0
5,18,17,2,4,0,0,1,1,0,2,4,10,0,1,-11.394,1
15,3,30,5,0,1,0,1,1,1,0,9,3,1,0,11.146,0
3,15,4,0,5,0,1,1,1,0,1,3,9,0,1,-11.146,1
4,17,8,0,4,0,0,0,2,0,2,1,8,0,1,-14.648,0
17,4,42,4,0,0,0,2,0,2,0,8,1,1,0,14.648,1
11,7,24,2,2,0,0,1,1,1,0,9,2,2,0,9.396,0
7,11,8,2,2,0,0,1,1,0,1,2,9,0,2,-9.396,1
9,15,18,1,3,0,0,1,1,2,0,7,9,1,1,-7.205,0
15,9,28,3,1,0,0,1,1,0,2,9,7,1,1,7.205,1
20,9,65,3,2,0,0,2,0,1,0,8,4,1,0,7.272,0
8,20,21,2,3,0,0,0,2,0,1,4,8,0,1,-7.272,1
19,10,52,2,3,0,0,2,0,2,0,9,0,1,0,13.029,0
10,19,25,3,2,0,0,0,2,0,2,0,9,0,1,-13.029,1
8,22,22,0,5,0,1,1,1,0,1,4,11,0,2,-11.161,0
22,8,46,5,0,1,0,1,1,1,0,11,4,2,0,11.161,1
3,22,2,0,4,0,0,0,2,0,1,1,9,0,2,-13.226,0
22,3,43,4,0,0,0,2,0,1,0,9,1,2,0,13.226,1
14,6,44,3,3,0,0,0,2,1,0,10,6,1,0,7.477,0
6,14,14,3,3,0,0,2,0,0,1,6,10,0,1,-7.477,1
1,8,3,3,2,0,0,1,0,0,2,2,10,0,2,-9.944,0
8,1,20,2,3,0,0,0,1,2,0,10,2,2,0,9.944,1
15,2,36,4,1,0,0,2,0,2,0,11,1,2,0,14.681,0
2,15,6,1,4,0,0,0,2,0,2,1,11,0,2,-14.681,1
2,7,2,1,3,0,0,1,1,0,1,2,9,0,2,-9.127,0
7,2,16,3,1,0,0,1,1,1,0,9,2,2,0,9.127,1
6,12,9,0,4,0,0,0,1,0,0,1,9,0,1,-8.283,0
12,6,21,4,0,0,0,1,0,0,0,9,1,1,0,8.283,1
15,2,46,3,1,0,0,1,0,1,0,10,2,2,0,11.893,0
2,15,3,1,3,0,0,0,1,0,1,2,10,0,2,-11.893,1
15,3,33,3,0,0,0,1,1,1,0,8,0,1,0,13.848,0
3,15,2,0,3,0,0,1,1,0,1,0,8,0,1,-13.848,1
11,25,15,1,3,0,0,1,1,1,1,3,8,0,1,-7.078,0
25,11,66,3,1,0,0,1,1,1,1,8,3,1,0,7.078,1
22,9,58,4,1,0,0,2,0,1,0,10,4,2,0,8.083,0
9,22,20,1,4,0,0,0,2,0,1,4,10,0,2,-8.083,1
10,4,30,4,2,0,0,1,1,3,0,10,2,2,0,14.577,0
4,10,14,2,4,0,0,1,1,0,3,2,10,0,2,-14.577,1
6,16,12,0,3,0,0,1,1,0,1,2,10,0,1,-11.193,0
16,6,36,3,0,0,0,1,1,1,0,10,2,1,0,11.193,1
16,6,36,4,0,0,0,2,0,1,0,10,1,2,0,14.026,0
5,16,8,0,4,0,0,0,2,0,1,1,10,0,2,-14.026,1
10,5,22,3,1,0,0,2,0,0,1,8,1,1,0,8.18,0
5,10,8,1,3,0,0,0,2,1,0,1,8,0,1,-8.18,1
3,16,7,1,2,0,0,2,0,0,1,0,8,0,1,-13,0
16,3,44,2,1,0,0,0,2,1,0,8,0,1,0,13,1
3,13,7,1,3,0,0,0,2,0,1,2,8,0,1,-10.939,0
13,3,28,3,1,0,0,2,0,1,0,8,2,1,0,10.939,1
4,11,6,3,1,0,0,2,0,0,1,3,6,0,1,-6.558,0
11,4,35,1,3,0,0,0,2,1,0,6,3,1,0,6.558,1
13,7,35,4,3,0,0,2,0,1,1,9,6,1,0,3.379,0
7,13,15,3,4,0,0,0,2,1,1,6,9,0,1,-3.379,1
18,3,32,4,0,0,0,1,1,1,0,10,2,2,0,14.012,0
3,18,9,0,4,0,0,1,1,0,1,2,10,0,2,-14.012,1
3,17,1,0,4,0,0,0,2,0,1,3,11,0,3,-13.312,0
17,3,35,4,0,0,0,2,0,1,0,11,3,3,0,13.312,1
18,16,50,4,2,0,0,1,1,2,1,10,5,3,0,5.698,0
16,18,43,2,4,0,0,1,1,1,2,5,10,0,3,-5.698,1
12,4,28,3,1,0,0,2,0,1,0,11,1,3,0,12.721,0
4,12,6,1,3,0,0,0,2,0,1,1,11,0,3,-12.721,1
7,22,16,1,4,0,0,0,2,1,0,2,9,0,1,-9.606,0
22,7,59,4,1,0,0,2,0,0,1,9,2,1,0,9.606,1
11,1,32,5,1,1,0,2,0,2,0,9,3,1,0,12.539,0
1,11,1,1,5,0,1,0,2,0,2,3,9,0,1,-12.539,1
3,9,7,1,4,0,0,0,2,0,2,1,8,0,1,-11.576,0
9,3,20,4,1,0,0,2,0,2,0,8,1,1,0,11.576,1
11,8,22,2,2,0,0,0,1,1,0,11,1,3,0,8.32,0
8,11,14,2,2,0,0,1,0,0,1,1,11,0,3,-8.32,1
7,19,12,0,3,0,0,0,1,0,1,1,9,0,2,-11.229,0
19,7,34,3,0,0,0,1,0,1,0,9,1,2,0,11.229,1
19,8,52,3,1,0,0,1,1,1,0,9,3,2,0,12.682,0
8,19,11,1,3,0,0,1,1,0,1,3,9,0,2,-12.682,1
26,11,69,4,0,0,0,2,0,1,0,9,3,2,0,6.861,0
11,27,27,0,4,0,0,0,2,0,1,3,9,0,2,-6.861,1
21,13,48,3,0,0,0,1,1,0,1,8,2,1,0,7.56,0
13,21,21,0,3,0,0,1,1,1,0,2,8,0,1,-7.56,1
22,11,67,2,2,0,0,2,0,2,0,10,3,2,0,13.096,0
11,22,21,2,2,0,0,0,2,0,2,3,10,0,2,-13.096,1
23,7,62,4,1,0,0,1,1,1,0,10,4,2,0,10.929,0
7,23,17,1,4,0,0,1,1,0,1,4,10,0,2,-10.929,1
27,5,49,1,2,0,0,2,0,1,0,10,1,2,0,17.937,0
5,27,10,2,1,0,0,0,2,0,1,1,10,0,2,-17.937,1
6,13,14,0,5,0,1,2,0,2,0,5,7,0,1,-2.474,0
13,6,39,5,0,1,0,0,2,0,2,7,5,1,0,2.474,1
25,11,58,2,1,0,0,1,1,1,0,10,4,2,0,8.356,0
10,25,24,1,2,0,0,1,1,0,1,4,10,0,2,-8.356,1
5,21,8,1,3,0,0,1,1,0,2,1,9,0,1,-17.668,0
21,5,44,3,1,0,0,1,1,2,0,9,1,1,0,17.668,1
20,15,52,1,3,0,0,2,0,1,0,7,3,1,0,10.335,0
