firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,opp_killsat10,opp_assistsat10,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,opp_killsat15,opp_assistsat15,side
1,0,1,1,1,1,1,2,1,4.77,-3.88,-16,1,1,0,0,0.22,-12.33,-31,1,1,0,0,0
0,1,0,0,0,0,0,1,2,-4.77,3.88,16,0,0,1,1,-0.22,12.33,31,0,0,1,1,1
1,1,0,0,0,0,0,3,6,-21.33,-24.14,-18,2,3,4,5,-30.49,-24.2,-26,3,3,5,7,0
0,0,1,1,1,1,1,6,3,21.33,24.14,18,4,5,2,3,30.49,24.2,26,5,7,3,3,1
1,0,1,1,1,1,1,5,3,6.26,3.13,7,1,1,1,1,16.44,-4.57,24,2,3,2,4,0
0,1,0,0,0,0,0,3,5,-6.26,-3.13,-7,1,1,1,1,-16.44,4.57,-24,2,4,2,3,1
1,1,0,1,1,0,0,6,4,15.64,6.59,9,3,6,0,0,13.77,7.21,-4,5,8,3,4,0
0,0,1,0,0,1,1,4,6,-15.64,-6.59,-9,0,0,3,6,-13.77,-7.21,4,3,4,5,8,1
1,0,1,1,1,1,1,7,3,13.22,5.1,28,1,2,1,3,21.02,-2.16,10,1,2,1,3,0
0,1,0,0,0,0,0,3,7,-13.22,-5.1,-28,1,3,1,2,-21.02,2.16,-10,1,3,1,2,1
1,0,0,0,0,1,0,2,1,-2.45,-12.02,-36,3,7,2,4,13.75,6.59,-38,5,10,2,4,0
0,1,1,1,1,0,1,1,2,2.45,12.02,36,2,4,3,7,-13.75,-6.59,38,2,4,5,10,1
0,1,1,0,0,0,1,3,1,0.12,4.98,12,1,1,2,5,1.28,-9.18,-5,1,1,2,5,0
1,0,0,1,1,1,0,1,3,-0.12,-4.98,-12,2,5,1,1,-1.28,9.18,5,2,5,1,1,1
1,0,1,0,0,0,0,6,4,2.04,-1.48,5,2,1,2,2,2.95,-1.92,-3,3,2,3,3,0
0,1,0,1,1,1,1,4,6,-2.04,1.48,-5,2,2,2,1,-2.95,1.92,3,3,3,3,2,1
0,0,0,1,0,0,0,1,3,-6.74,-5.6,2,0,0,2,1,-5.01,-0.39,-6,2,6,2,1,0
1,1,1,0,1,1,1,3,1,6.74,5.6,-2,2,1,0,0,5.01,0.39,6,2,1,2,6,1
0,0,1,0,1,1,0,3,2,-6.01,-9.88,6,0,0,2,2,-5.06,-10.89,-7,1,2,3,3,0
1,1,0,0,0,0,1,2,3,6.01,9.88,-6,2,2,0,0,5.06,10.89,7,3,3,1,2,1
1,1,1,1,1,1,1,8,1,14.64,5.73,17,2,3,1,2,38.13,19.66,44,4,8,3,5,0
0,0,0,0,0,0,0,1,8,-14.64,-5.73,-17,1,2,2,3,-38.13,-19.66,-44,3,5,4,8,1
1,0,1,1,1,1,1,5,1,15.57,17.69,32,1,1,0,0,30.78,23.05,41,2,2,1,2,0
0,1,0,0,0,0,0,1,5,-15.57,-17.69,-32,0,0,1,1,-30.78,-23.05,-41,1,2,2,2,1
0,0,1,0,0,1,1,2,1,3.34,4.29,-3,1,2,1,1,4.06,5.69,-2,1,2,2,3,0
1,1,0,1,1,0,0,1,2,-3.34,-4.29,3,1,1,1,2,-4.06,-5.69,2,2,3,1,2,1
1,0,1,0,1,0,0,5,3,0.58,4.62,10,1,0,2,4,-4.21,-18.13,-12,1,0,4,7,0
0,1,0,0,0,1,1,3,5,-0.58,-4.62,-10,2,4,1,0,4.21,18.13,12,4,7,1,0,1
1,0,1,1,1,1,1,5,4,3.95,5,33,1,1,2,2,23.49,12.89,40,4,10,4,5,0
0,1,0,0,0,0,0,4,5,-3.95,-5,-33,2,2,1,1,-23.49,-12.89,-40,4,5,4,10,1
0,0,1,0,1,1,1,5,6,-18.43,-11.49,-22,0,0,2,2,-18.6,-16.33,-31,0,0,2,2,0
1,1,0,1,0,0,0,6,5,18.43,11.49,22,2,2,0,0,18.6,16.33,31,2,2,0,0,1
0,0,0,0,0,0,0,1,8,-41.79,-31.76,-61,1,1,5,8,-76.03,-47.14,-87,2,2,8,11,0
1,1,1,1,1,1,1,8,1,41.79,31.76,61,5,8,1,1,76.03,47.14,87,8,11,2,2,1
1,0,1,1,1,1,1,9,5,-2.24,2.97,-3,3,3,4,5,-11.56,-20.89,-20,3,3,8,16,0
0,1,0,0,0,0,0,5,9,2.24,-2.97,3,4,5,3,3,11.56,20.89,20,8,16,3,3,1
1,0,0,1,1,0,0,5,4,4.62,-3.73,-10,3,3,1,2,15.14,8.89,4,4,5,1,2,0
0,1,1,0,0,1,1,4,5,-4.62,3.73,10,1,2,3,3,-15.14,-8.89,-4,1,2,4,5,1
0,1,1,1,1,1,1,11,5,25.9,16.22,28,6,8,2,2,41.17,20.27,73,8,9,5,6,0
1,0,0,0,0,0,0,5,11,-25.9,-16.22,-28,2,2,6,8,-41.17,-20.27,-73,5,6,8,9,1
1,0,0,0,1,0,0,7,5,22.62,25.49,21,5,11,1,2,12.97,23.8,37,6,12,2,6,0
0,1,1,1,0,1,1,5,7,-22.62,-25.49,-21,1,2,5,11,-12.97,-23.8,-37,2,6,6,12,1
0,0,0,0,0,0,0,2,6,-16.37,-11.93,-14,4,4,6,6,-25.45,-8.48,-9,4,4,7,8,0
1,1,1,1,1,1,1,6,2,16.37,11.93,14,6,6,4,4,25.45,8.48,9,7,8,4,4,1
1,0,0,0,0,0,0,1,7,-5.8,-4.81,-12,1,2,0,0,-17.99,-14.41,-21,2,4,1,3,0
0,1,1,1,1,1,1,7,1,5.8,4.81,12,0,0,1,2,17.99,14.41,21,1,3,2,4,1
0,0,1,1,1,1,1,3,2,8.17,1.15,28,1,1,1,0,15.34,-1.69,34,2,3,2,3,0
1,1,0,0,0,0,0,2,3,-8.17,-1.15,-28,1,0,1,1,-15.34,1.69,-34,2,3,2,3,1
1,1,0,1,1,1,1,3,1,11.12,8.42,6,2,3,1,2,23.44,18.64,1,6,8,3,6,0
0,0,1,0,0,0,0,1,3,-11.12,-8.42,-6,1,2,2,3,-23.44,-18.64,-1,3,6,6,8,1
1,0,1,1,1,1,1,7,4,4,-9.54,-27,3,2,2,2,19.95,-16.24,-41,3,2,2,2,0
0,1,0,0,0,0,0,4,7,-4,9.54,27,2,2,3,2,-19.95,16.24,41,2,2,3,2,1
1,1,0,1,0,1,0,3,4,1.8,3.2,-29,1,2,0,0,-0.99,14.71,-1,3,5,3,10,0
0,0,1,0,1,0,1,4,3,-1.8,-3.2,29,0,0,1,2,0.99,-14.71,1,3,10,3,5,1
1,1,1,1,1,1,1,6,0,4.19,-0.42,-7,3,4,3,4,32.49,8.11,27,4,5,5,8,0
0,0,0,0,0,0,0,0,6,-4.19,0.42,7,3,4,3,4,-32.49,-8.11,-27,5,8,4,5,1
0,1,0,0,0,0,0,3,4,-15.49,-3.58,16,0,0,2,4,-35.34,-26.05,5,4,8,6,12,0
1,0,1,1,1,1,1,4,3,15.49,3.58,-16,2,4,0,0,35.34,26.05,-5,6,12,4,8,1
1,1,1,1,1,1,1,14,1,46.06,8.79,51,5,15,1,2,85.25,25.81,62,7,18,1,2,0
0,0,0,0,0,0,0,1,14,-46.06,-8.79,-51,1,2,5,15,-85.25,-25.81,-62,1,2,7,18,1
0,0,1,0,0,0,0,5,11,-17.54,6.15,-23,6,9,5,7,-26.59,-8.24,-45,8,13,8,13,0
1,1,0,1,1,1,1,11,5,17.54,-6.15,23,5,7,6,9,26.59,8.24,45,8,13,8,13,1
1,0,1,0,1,1,1,5,3,0.45,8.52,-5,1,0,0,0,12.5,-2.9,-19,1,0,0,0,0
0,1,0,1,0,0,0,3,5,-0.45,-8.52,5,0,0,1,0,-12.5,2.9,19,0,0,1,0,1
1,1,1,0,0,1,1,6,2,18.24,4.28,4,3,4,1,1,29.76,13.73,6,7,9,4,5,0
0,0,0,1,1,0,0,2,6,-18.24,-4.28,-4,1,1,3,4,-29.76,-13.73,-6,4,5,7,9,1
0,1,0,0,0,0,0,4,3,-2.53,2.93,-10,0,0,0,0,-11.61,3.37,-7,0,0,1,2,0
1,0,1,1,1,1,1,3,4,2.53,-2.93,10,0,0,0,0,11.61,-3.37,7,1,2,0,0,1
1,1,1,1,1,1,1,10,1,20.57,3.69,3,2,8,0,0,64.43,25.18,55,6,16,3,4,0
0,0,0,0,0,0,0,1,10,-20.57,-3.69,-3,0,0,2,8,-64.43,-25.18,-55,3,4,6,16,1
1,0,1,0,1,1,1,7,2,5.94,-3.81,9,0,0,0,0,32.84,-3.57,8,2,3,1,3,0
0,1,0,1,0,0,0,2,7,-5.94,3.81,-9,0,0,0,0,-32.84,3.57,-8,1,3,2,3,1
0,0,0,0,0,0,1,5,2,-8.48,-1.97,-7,0,0,2,1,4.5,13.52,9,1,1,2,1,0
1,1,1,1,1,1,0,2,5,8.48,1.97,7,2,1,0,0,-4.5,-13.52,-9,2,1,1,1,1
0,0,0,0,0,0,0,0,3,-6.5,-0.43,6,0,0,1,2,-24.41,-21.15,-7,4,7,8,21,0
1,1,1,1,1,1,1,3,0,6.5,0.43,-6,1,2,0,0,24.41,21.15,7,8,21,4,7,1
1,1,0,0,1,0,1,5,1,6.36,16.96,25,1,0,0,0,21.63,17.75,58,3,4,1,0,0
0,0,1,0,0,1,0,1,5,-6.36,-16.96,-25,0,0,1,0,-21.63,-17.75,-58,1,0,3,4,1
0,1,1,0,1,0,0,7,1,-1.23,5.58,-2,0,0,0,0,0.22,-5.9,-2,0,0,2,2,0
1,0,0,1,0,1,1,1,7,1.23,-5.58,2,0,0,0,0,-0.22,5.9,2,2,2,0,0,1
0,0,1,0,0,0,0,3,5,-7.08,-5.8,-21,0,0,1,2,-22.94,-23.9,-49,1,1,4,6,0
1,1,0,1,1,1,1,5,3,7.08,5.8,21,1,2,0,0,22.94,23.9,49,4,6,1,1,1
0,0,1,0,0,0,0,1,4,-21.79,-13.36,-47,0,0,2,4,-37.32,-28.68,-72,0,0,4,7,0
1,1,0,1,1,1,1,4,1,21.79,13.36,47,2,4,0,0,37.32,28.68,72,4,7,0,0,1
0,0,0,0,0,0,0,1,7,-6.62,1.83,11,1,1,1,0,-39.62,-35.53,-24,1,1,4,2,0
1,1,1,1,1,1,1,7,1,6.62,-1.83,-11,1,0,1,1,39.62,35.53,24,4,2,1,1,1
1,0,1,0,1,1,1,7,0,20.45,14.27,28,2,2,0,0,29.19,5.18,46,3,5,1,3,0
0,1,0,1,0,0,0,0,7,-20.45,-14.27,-28,0,0,2,2,-29.19,-5.18,-46,1,3,3,5,1
1,0,0,1,1,1,1,7,1,14.38,7.73,41,1,1,1,0,39.15,25.43,60,4,9,1,0,0
0,1,1,0,0,0,0,1,7,-14.38,-7.73,-41,1,0,1,1,-39.15,-25.43,-60,1,0,4,9,1
1,1,0,1,1,1,1,6,5,-0.75,-5.41,13,2,3,3,5,6.95,-1.16,14,3,4,3,5,0
0,0,1,0,0,0,0,5,6,0.75,5.41,-13,3,5,2,3,-6.95,1.16,-14,3,5,3,4,1
0,1,0,1,0,0,1,2,5,-12.27,-4.94,12,0,0,2,4,-24.16,-19.84,-19,0,0,3,5,0
1,0,1,0,1,1,0,5,2,12.27,4.94,-12,2,4,0,0,24.16,19.84,19,3,5,0,0,1
0,1,0,1,1,0,1,6,4,-9.3,-10.05,19,3,3,5,8,0.15,0.55,47,3,3,6,10,0
1,0,1,0,0,1,0,4,6,9.3,10.05,-19,5,8,3,3,-0.15,-0.55,-47,6,10,3,3,1
1,0,1,0,0,0,0,4,6,-10.11,-7.61,-20,3,6,5,7,-16.55,-11.72,-38,4,8,5,7,0
0,1,0,1,1,1,1,6,4,10.11,7.61,20,5,7,3,6,16.55,11.72,38,5,7,4,8,1
1,1,1,1,1,1,1,4,1,-3.15,-2.66,-1,0,0,0,0,-3.7,-5.61,-1,0,0,0,0,0
0,0,0,0,0,0,0,1,4,3.15,2.66,1,0,0,0,0,3.7,5.61,1,0,0,0,0,1
0,1,1,1,1,1,1,2,0,1.35,4.74,29,1,0,2,3,14.16,13.39,60,2,0,2,3,0
1,0,0,0,0,0,0,0,2,-1.35,-4.74,-29,2,3,1,0,-14.16,-13.39,-60,2,3,2,0,1
0,0,1,0,0,0,0,1,4,-14.7,-23.31,-35,0,0,1,0,-26.29,-23.57,-61,0,0,1,0,0
1,1,0,1,1,1,1,4,1,14.7,23.31,35,1,0,0,0,26.29,23.57,61,1,0,0,0,1
0,1,0,1,0,1,1,8,6,-6.72,-0.3,31,1,3,3,6,3.96,12.49,68,2,3,4,9,0
1,0,1,0,1,0,0,6,8,6.72,0.3,-31,3,6,1,3,-3.96,-12.49,-68,4,9,2,3,1
0,0,1,0,0,0,0,6,9,-15.34,-9.1,-69,1,2,1,2,-26.2,-17.77,-101,4,9,3,3,0
1,1,0,1,1,1,1,9,6,15.34,9.1,69,1,2,1,2,26.2,17.77,101,3,3,4,9,1
0,0,1,1,1,1,0,6,5,-1.84,-0.94,-17,3,5,2,3,15.78,-5.58,-19,5,9,3,4,0
1,1,0,0,0,0,1,5,6,1.84,0.94,17,2,3,3,5,-15.78,5.58,19,3,4,5,9,1
1,0,0,1,0,1,1,4,4,11.86,11.31,15,4,4,3,3,8.76,31.16,20,6,10,4,5,0
0,1,1,0,1,0,0,4,4,-11.86,-11.31,-15,3,3,4,4,-8.76,-31.16,-20,4,5,6,10,1
0,1,1,1,1,1,1,7,3,2.43,-1.55,8,0,0,1,2,19.13,13.29,33,1,2,1,2,0
1,0,0,0,0,0,0,3,7,-2.43,1.55,-8,1,2,0,0,-19.13,-13.29,-33,1,2,1,2,1
0,1,1,0,0,1,0,3,4,-15.03,-9.24,-18,0,0,2,4,-6.5,1.03,-11,1,2,2,4,0
1,0,0,1,1,0,1,4,3,15.03,9.24,18,2,4,0,0,6.5,-1.03,11,2,4,1,2,1
1,1,1,0,1,1,1,5,5,8.53,7.07,0,1,1,1,2,-1.46,-17.95,-21,1,1,3,6,0
0,0,0,1,0,0,0,5,5,-8.53,-7.07,0,1,2,1,1,1.46,17.95,21,3,6,1,1,1
0,0,1,1,0,1,1,4,3,-16.37,-15.81,-43,0,0,1,0,-13.94,-29.88,-73,0,0,2,0,0
1,1,0,0,1,0,0,3,4,16.37,15.81,43,1,0,0,0,13.94,29.88,73,2,0,0,0,1
0,1,1,0,0,0,0,3,5,-18.23,-3.27,0,0,0,2,3,-11.7,-5.58,-7,2,2,4,3,0
1,0,0,1,1,1,1,5,3,18.23,3.27,0,2,3,0,0,11.7,5.58,7,4,3,2,2,1
0,0,1,0,0,0,0,10,6,-6.75,1.88,29,0,0,3,4,-10.44,0.45,26,2,3,5,8,0
1,1,0,1,1,1,1,6,10,6.75,-1.88,-29,3,4,0,0,10.44,-0.45,-26,5,8,2,3,1
0,0,0,0,1,1,0,8,4,-1.86,-7.16,-21,0,0,1,2,-13.25,-11.43,-37,2,3,5,6,0
1,1,1,1,0,0,1,4,8,1.86,7.16,21,1,2,0,0,13.25,11.43,37,5,6,2,3,1
0,0,0,0,0,0,0,3,5,1.52,0.26,-5,4,6,4,5,0.51,4.81,7,4,6,4,5,0
1,1,1,1,1,1,1,5,3,-1.52,-0.26,5,4,5,4,6,-0.51,-4.81,-7,4,5,4,6,1
0,0,0,0,0,0,0,3,13,-49.64,-23.05,-10,3,1,9,11,-85.38,-41.01,-11,4,3,14,19,0
1,1,1,0,1,1,1,13,3,49.64,23.05,10,9,11,3,1,85.38,41.01,11,14,19,4,3,1
1,0,1,1,0,1,1,4,5,13.61,-5.81,-25,6,12,3,4,9.51,-13.07,-40,7,13,5,8,0
0,1,0,0,1,0,0,5,4,-13.61,5.81,25,3,4,6,12,-9.51,13.07,40,5,8,7,13,1
0,0,0,0,0,0,0,4,7,-21.64,-19.87,-16,1,2,4,5,-36,-34.49,-42,2,4,5,7,0
1,1,1,1,1,1,1,7,4,21.64,19.87,16,4,5,1,2,36,34.49,42,5,7,2,4,1
0,1,0,1,0,0,0,2,7,-28.44,-16.71,1,0,0,4,7,-34.73,-13.58,2,0,0,5,9,0
1,0,1,0,1,1,1,7,2,28.44,16.71,-1,4,7,0,0,34.73,13.58,-2,5,9,0,0,1
1,0,0,1,1,0,0,5,3,2.52,-4,-9,1,1,0,0,25.76,25.7,21,3,2,0,0,0
0,1,1,0,0,1,1,3,5,-2.52,4,9,0,0,1,1,-25.76,-25.7,-21,0,0,3,2,1
0,1,1,1,1,1,1,5,3,-0.65,11.86,-6,3,3,2,3,7.3,18.2,15,3,3,2,3,0
1,0,0,0,0,0,0,3,5,0.65,-11.86,6,2,3,3,3,-7.3,-18.2,-15,2,3,3,3,1
0,1,0,0,0,1,1,3,2,-13.15,-3.25,-5,0,0,2,3,-20.83,-5.8,1,0,0,4,5,0
1,0,1,1,1,0,0,2,3,13.15,3.25,5,2,3,0,0,20.83,5.8,-1,4,5,0,0,1
0,0,1,0,1,0,0,8,3,5.04,0.85,13,0,0,1,3,28.02,16.86,51,3,7,2,4,0
1,1,0,1,0,1,1,3,8,-5.04,-0.85,-13,1,3,0,0,-28.02,-16.86,-51,2,4,3,7,1
1,1,0,1,1,1,1,4,2,-2.38,-4.78,-31,0,0,0,0,4.36,5.54,-33,1,2,0,0,0
0,0,1,0,0,0,0,2,4,2.38,4.78,31,0,0,0,0,-4.36,-5.54,33,0,0,1,2,1
0,0,1,0,1,0,0,3,3,-14.97,4.51,-20,2,3,4,4,-11.03,-6.21,-32,5,9,7,10,0
1,1,0,1,0,1,1,3,3,14.97,-4.51,20,4,4,2,3,11.03,6.21,32,7,10,5,9,1
0,0,0,1,1,0,0,5,6,-8.63,-1.73,23,0,0,2,4,9.48,9.6,44,1,2,2,4,0
1,1,1,0,0,1,1,6,5,8.63,1.73,-23,2,4,0,0,-9.48,-9.6,-44,2,4,1,2,1
0,1,0,1,1,1,1,7,3,-3.85,-1.58,39,0,0,2,3,17.38,3.76,50,2,2,3,6,0
1,0,1,0,0,0,0,3,7,3.85,1.58,-39,2,3,0,0,-17.38,-3.76,-50,3,6,2,2,1
0,0,1,0,1,1,1,6,3,-15.86,-13.21,-24,1,2,4,6,-1.32,-2.16,-14,3,4,5,7,0
1,1,0,1,0,0,0,3,6,15.86,13.21,24,4,6,1,2,1.32,2.16,14,5,7,3,4,1
1,0,0,0,0,0,0,2,3,-0.36,-4.19,2,1,2,1,1,-4.91,-8.41,9,5,9,4,12,0
0,1,1,1,1,1,1,3,2,0.36,4.19,-2,1,1,1,2,4.91,8.41,-9,4,12,5,9,1
0,0,1,0,0,0,0,5,3,-0.09,-4.53,-13,0,0,0,0,-26.94,-25.49,-28,0,0,6,16,0
1,1,0,1,1,1,1,3,5,0.09,4.53,13,0,0,0,0,26.94,25.49,28,6,16,0,0,1
0,1,1,0,0,0,0,6,8,-11.63,-0.86,16,1,2,4,4,-30.81,-8.81,11,1,2,5,7,0
1,0,0,1,1,1,1,8,6,11.63,0.86,-16,4,4,1,2,30.81,8.81,-11,5,7,1,2,1
1,1,1,1,1,1,1,5,0,8.37,3.03,30,0,0,0,0,20.91,1.87,33,1,2,1,3,0
0,0,0,0,0,0,0,0,5,-8.37,-3.03,-30,0,0,0,0,-20.91,-1.87,-33,1,3,1,2,1
0,1,0,1,0,0,1,2,5,-3.52,-0.56,0,1,3,1,2,1.05,21.95,34,2,4,1,2,0
1,0,1,0,1,1,0,5,2,3.52,0.56,0,1,2,1,3,-1.05,-21.95,-34,1,2,2,4,1
1,1,1,1,1,1,1,7,2,15.79,12.82,31,2,4,2,0,22.93,3.62,13,2,4,2,0,0
0,0,0,0,0,0,0,2,7,-15.79,-12.82,-31,2,0,2,4,-22.93,-3.62,-13,2,0,2,4,1
1,0,1,0,0,0,0,2,4,-0.81,-7.52,-34,1,1,0,0,-3.36,-11.61,-40,1,1,1,2,0
0,1,0,1,1,1,1,4,2,0.81,7.52,34,0,0,1,1,3.36,11.61,40,1,2,1,1,1
1,1,1,1,1,1,1,3,1,12.45,10.19,1,1,1,0,0,41.15,21.91,10,5,9,0,0,0
0,0,0,0,0,0,0,1,3,-12.45,-10.19,-1,0,0,1,1,-41.15,-21.91,-10,0,0,5,9,1
0,0,0,0,0,0,0,2,10,-25.39,-8.9,-41,1,1,3,3,-44.95,-15.66,-50,2,2,4,4,0
1,1,1,1,1,1,1,10,2,25.39,8.9,41,3,3,1,1,44.95,15.66,50,4,4,2,2,1
1,1,1,1,1,1,1,5,1,5.17,-2.11,28,1,1,2,2,31.51,26.98,45,6,18,3,6,0
0,0,0,0,0,0,0,1,5,-5.17,2.11,-28,2,2,1,1,-31.51,-26.98,-45,3,6,6,18,1
1,0,1,0,1,0,0,4,3,6.13,4.87,-1,1,1,0,0,3.71,-5.67,-13,1,1,1,1,0
0,1,0,1,0,1,1,3,4,-6.13,-4.87,1,0,0,1,1,-3.71,5.67,13,1,1,1,1,1
1,1,1,1,1,1,1,13,3,18.77,11.68,42,1,1,1,2,56.9,20.73,65,5,7,3,5,0
0,0,0,0,0,0,0,3,13,-18.77,-11.68,-42,1,2,1,1,-56.9,-20.73,-65,3,5,5,7,1
0,0,1,1,0,1,0,4,4,-9.1,-3.42,9,0,0,2,2,-4.39,-6.52,11,3,6,5,10,0
1,1,0,0,1,0,1,4,4,9.1,3.42,-9,2,2,0,0,4.39,6.52,-11,5,10,3,6,1
1,0,0,1,1,0,1,3,3,1.8,-1.45,-1,1,1,1,1,8.11,12.81,19,1,1,1,1,0
0,1,1,0,0,1,0,3,3,-1.8,1.45,1,1,1,1,1,-8.11,-12.81,-19,1,1,1,1,1
0,0,0,0,1,1,1,3,4,-2.35,0.15,10,1,3,1,0,11.22,16.14,16,4,9,2,0,0
1,1,1,0,0,0,0,4,3,2.35,-0.15,-10,1,0,1,3,-11.22,-16.14,-16,2,0,4,9,1
1,0,1,1,1,1,1,5,3,12.09,4.95,-17,2,2,0,0,12.71,-7.09,-44,2,2,0,0,0
0,1,0,0,0,0,0,3,5,-12.09,-4.95,17,0,0,2,2,-12.71,7.09,44,0,0,2,2,1
0,0,0,0,0,0,0,0,5,-15.37,-9.08,-38,0,0,1,1,-38.85,-14.2,-46,0,0,2,3,0
1,1,1,1,1,1,1,5,0,15.37,9.08,38,1,1,0,0,38.85,14.2,46,2,3,0,0,1
0,0,0,0,0,0,0,1,6,-22.97,-17.32,-50,0,0,2,3,-53.19,-39.6,-60,0,0,7,12,0
1,1,1,1,1,1,1,6,1,22.97,17.32,50,2,3,0,0,53.19,39.6,60,7,12,0,0,1
0,0,1,1,1,1,1,7,5,-6.03,8.78,26,2,4,3,5,21.96,37.68,58,5,6,3,5,0
1,1,0,0,0,0,0,5,7,6.03,-8.78,-26,3,5,2,4,-21.96,-37.68,-58,3,5,5,6,1
0,0,1,1,0,0,0,3,4,5.79,0.61,15,1,0,1,1,-5.23,-16.16,8,1,0,2,2,0
1,1,0,0,1,1,1,4,3,-5.79,-0.61,-15,1,1,1,0,5.23,16.16,-8,2,2,1,0,1
1,0,1,1,0,1,1,10,8,11.83,5.23,9,3,5,3,5,5.69,0.34,12,3,5,6,12,0
0,1,0,0,1,0,0,8,10,-11.83,-5.23,-9,3,5,3,5,-5.69,-0.34,-12,6,12,3,5,1
0,0,0,0,0,0,0,0,8,-21.01,-10.24,-28,2,3,3,2,-38.23,-7.27,-38,2,3,3,2,0
1,1,1,1,1,1,1,8,0,21.01,10.24,28,3,2,2,3,38.23,7.27,38,3,2,2,3,1
